广东频道,#genre#
广东卫视,http://120.238.99.51:8888/udp/239.77.1.19:5146
广东卫视,http://222.125.242.74:8888/udp/239.77.1.19:5146
广东卫视,http://125.93.111.26:8888/udp/239.77.1.19:5146
广东卫视,http://120.237.116.125:8888/udp/239.77.1.19:5146
广东卫视,http://14.145.226.150:4022/udp/239.77.1.19:5146
广东卫视,http://113.111.247.168:55555/udp/239.77.1.19:5146
广东卫视,http://113.65.11.5:58000/udp/239.77.1.19:5146
广东卫视,http://113.65.11.152:58000/udp/239.77.1.19:5146
广东卫视超清,http://120.238.99.51:8888/udp/239.77.0.166:5146
广东卫视超清,http://222.125.242.74:8888/udp/239.77.0.166:5146
广东卫视超清,http://125.93.111.26:8888/udp/239.77.0.166:5146
广东卫视超清,http://120.237.116.125:8888/udp/239.77.0.166:5146
广东卫视超清,http://14.145.226.150:4022/udp/239.77.0.166:5146
广东卫视超清,http://113.111.247.168:55555/udp/239.77.0.166:5146
广东卫视超清,http://113.65.11.5:58000/udp/239.77.0.166:5146
广东卫视超清,http://113.65.11.152:58000/udp/239.77.0.166:5146
广东珠江,http://120.238.99.51:8888/udp/239.77.0.1:5146
广东珠江,http://222.125.242.74:8888/udp/239.77.0.1:5146
广东珠江,http://125.93.111.26:8888/udp/239.77.0.1:5146
广东珠江,http://120.237.116.125:8888/udp/239.77.0.1:5146
广东珠江,http://14.145.226.150:4022/udp/239.77.0.1:5146
广东珠江,http://113.111.247.168:55555/udp/239.77.0.1:5146
广东珠江,http://113.65.11.5:58000/udp/239.77.0.1:5146
广东珠江,http://113.65.11.152:58000/udp/239.77.0.1:5146
广东珠江超清,http://120.238.99.51:8888/udp/239.77.0.114:5146
广东珠江超清,http://222.125.242.74:8888/udp/239.77.0.114:5146
广东珠江超清,http://125.93.111.26:8888/udp/239.77.0.114:5146
广东珠江超清,http://120.237.116.125:8888/udp/239.77.0.114:5146
广东珠江超清,http://14.145.226.150:4022/udp/239.77.0.114:5146
广东珠江超清,http://113.111.247.168:55555/udp/239.77.0.114:5146
广东珠江超清,http://113.65.11.5:58000/udp/239.77.0.114:5146
广东珠江超清,http://113.65.11.152:58000/udp/239.77.0.114:5146
广东新闻,http://120.238.99.51:8888/udp/239.77.0.173:5146
广东新闻,http://222.125.242.74:8888/udp/239.77.0.173:5146
广东新闻,http://125.93.111.26:8888/udp/239.77.0.173:5146
广东新闻,http://120.237.116.125:8888/udp/239.77.0.173:5146
广东新闻,http://14.145.226.150:4022/udp/239.77.0.173:5146
广东新闻,http://113.111.247.168:55555/udp/239.77.0.173:5146
广东新闻,http://113.65.11.5:58000/udp/239.77.0.173:5146
广东新闻,http://113.65.11.152:58000/udp/239.77.0.173:5146
广东民生,http://120.238.99.51:8888/udp/239.77.0.225:5146
广东民生,http://222.125.242.74:8888/udp/239.77.0.225:5146
广东民生,http://125.93.111.26:8888/udp/239.77.0.225:5146
广东民生,http://120.237.116.125:8888/udp/239.77.0.225:5146
