📡  电信频道,#genre#
CCTV1,http://14.19.151.48:8188/udp/239.77.1.17:5146
CCTV1,http://14.19.151.48:8188/udp/239.77.1.144:5146
CCTV1,http://14.19.151.48:8188/udp/239.77.0.86:5146
CCTV1,http://14.19.151.48:8188/udp/239.77.0.129:5146
CCTV2,http://14.19.151.48:8188/udp/239.77.1.158:5146
CCTV2,http://14.19.151.48:8188/udp/239.253.43.17:5146
CCTV2,http://14.19.151.48:8188/udp/239.77.0.137:5146
CCTV3,http://14.19.151.48:8188/udp/239.77.0.169:5146
CCTV3,http://14.19.151.48:8188/udp/239.77.0.175:5146
CCTV4,http://14.19.151.48:8188/udp/239.77.1.163:5146
CCTV4,http://14.19.151.48:8188/udp/239.77.1.166:5146
CCTV4,http://14.19.151.48:8188/udp/239.77.0.78:5146
CCTV5,http://14.19.151.48:8188/udp/239.77.0.170:5146
CCTV5,http://14.19.151.48:8188/udp/239.77.0.177:5146
CCTV5+,http://14.19.151.48:8188/udp/239.77.0.87:5146
CCTV5+,http://14.19.151.48:8188/udp/239.77.1.31:5146
CCTV5+,http://14.19.151.48:8188/udp/239.77.1.147:5146
CCTV6,http://14.19.151.48:8188/udp/239.77.0.171:5146
CCTV6,http://14.19.151.48:8188/udp/239.77.0.178:5146
CCTV7,http://14.19.151.48:8188/udp/239.77.1.159:5146
CCTV7,http://14.19.151.48:8188/udp/239.77.1.167:5146
CCTV7,http://14.19.151.48:8188/udp/239.77.0.138:5146
CCTV8,http://14.19.151.48:8188/udp/239.77.0.172:5146
CCTV8,http://14.19.151.48:8188/udp/239.77.0.181:5146
CCTV9,http://14.19.151.48:8188/udp/239.77.1.160:5146
CCTV9,http://14.19.151.48:8188/udp/239.77.1.168:5146
CCTV9,http://14.19.151.48:8188/udp/239.77.0.135:5146
CCTV10,http://14.19.151.48:8188/udp/239.77.1.113:5146
CCTV10,http://14.19.151.48:8188/udp/239.77.1.169:5146
CCTV10,http://14.19.151.48:8188/udp/239.77.0.134:5146
CCTV11,http://14.19.151.48:8188/udp/239.77.1.238:5146
CCTV12,http://14.19.151.48:8188/udp/239.77.1.109:5146
CCTV12,http://14.19.151.48:8188/udp/239.77.1.170:5146
CCTV12,http://14.19.151.48:8188/udp/239.77.0.136:5146
CCTV13,http://14.19.151.48:8188/udp/239.77.0.188:5146
CCTV13,http://14.19.151.48:8188/udp/239.253.43.196:5146
CCTV14,http://14.19.151.48:8188/udp/239.77.1.161:5146
CCTV14,http://14.19.151.48:8188/udp/239.77.1.171:5146
CCTV14,http://14.19.151.48:8188/udp/239.77.0.133:5146
CCTV15,http://14.19.151.48:8188/udp/239.77.1.239:5146
CCTV16,http://14.19.151.48:8188/udp/239.77.0.165:5146
CCTV16,http://14.19.151.48:8188/udp/239.77.1.76:5146
CCTV16 4k,http://14.19.151.48:8188/udp/239.77.1.98:5146
CCTV17,http://14.19.151.48:8188/udp/239.77.1.121:5146
CCTV17,http://14.19.151.48:8188/udp/239.77.0.198:5146
CCTV-4K,http://14.19.151.48:8188/udp/239.77.0.194:5146
CCTV-4K,http://14.19.151.48:8188/udp/239.77.0.174:5146
CGTN英语,http://14.19.151.48:8188/udp/239.77.0.199:5146
CGTN西班牙语,http://14.19.151.48:8188/udp/239.77.0.221:5146
CGTN法语高,http://14.19.151.48:8188/udp/239.77.0.228:5146
CGTN阿拉伯语,http://14.19.151.48:8188/udp/239.253.43.200:5146
CGTN俄语,http://14.19.151.48:8188/udp/239.253.43.201:5146
广东卫视,http://14.19.151.48:8188/udp/239.77.1.19:5146
广东卫视,http://14.19.151.48:8188/udp/239.77.1.152:5146
广东卫视,http://14.19.151.48:8188/udp/239.77.0.84:5146
广东卫视,http://14.19.151.48:8188/udp/239.77.0.166:5146
广东珠江,http://14.19.151.48:8188/udp/239.77.0.1:5146
广东珠江,http://14.19.151.48:8188/udp/239.77.0.114:5146
广东新闻,http://14.19.151.48:8188/udp/239.77.0.173:5146
广东公共,http://14.19.151.48:8188/udp/239.77.0.225:5146
广东体育,http://14.19.151.48:8188/udp/239.77.0.112:5146
广东体育,http://14.19.151.48:8188/udp/239.77.0.168:5146
经济科教,http://14.19.151.48:8188/udp/239.77.0.85:5146
经济科教,http://14.19.151.48:8188/udp/239.77.0.167:5146
大湾区卫视,http://14.19.151.48:8188/udp/239.77.0.215:5146
大湾区卫视,http://14.19.151.48:8188/udp/239.77.0.9:5146
大湾区卫视,http://14.19.151.48:8188/udp/239.77.1.12:5146
广东影视,http://14.19.151.48:8188/udp/239.77.0.217:5146
广东少儿,http://14.19.151.48:8188/udp/239.77.0.250:5146
嘉佳卡通,http://14.19.151.48:8188/udp/239.77.0.179:5146
岭南戏曲,http://14.19.151.48:8188/udp/239.77.0.16:5146
